Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,71787.76049,322.6115368,41.88977837
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,71787.76049,289.3883743,43.32582288
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,71787.76049,312.0507723,50.84614745
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,62123.96166,331.3450022,37.86597023
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,62123.96166,297.3498549,39.16273227
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,62123.96166,319.9491923,46.01911839
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,HIGH,HEAVY,SOUR,78241.22504,325.4156386,39.8932696
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,HIGH,HEAVY,SOUR,78241.22504,289.873385,41.25455234
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,HIGH,HEAVY,SOUR,78241.22504,318.1333947,48.36309178
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,12017.25181,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,12017.25181,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,12017.25181,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,260885.1846,294.273694,70.08462321
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,260885.1846,257.9080757,72.49809699
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,260885.1846,294.0077588,85.14236954
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,HIGH,LIGHT,SWEET,71787.76049,321.3204608,42.34004226
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,HIGH,LIGHT,SWEET,71787.76049,286.8213003,43.79356276
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,HIGH,LIGHT,SWEET,71787.76049,312.9979201,51.35617269
