Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,788.407139,4.598119454,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,237.7475982,108.9940348,261.6129901,107.3530974
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,208.33247,112.7444742,230.56651,111.0470729
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,235.5278831,132.5536024,259.2701704,130.5579688
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1972.704328,1.068501171,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1842.332019,1.086031805,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,1951.224364,1.265161542,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,308.6382776,37.4449925,323.5305067,40.83398787
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,275.7976354,38.72573748,290.2416625,42.23064792
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,298.3168932,45.42875673,313.0682583,49.54033043
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,313.5901027,35.47093629,365.3531031,26.91090007
