Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Deep Conversion: GO-HC (5),5,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,CNR,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Coker,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,SMR,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Others,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,105448.553,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,105448.553,191.8169727,250.8749016,250.074569,252.8487091
Deep Conversion: FCC & GO-HC (6),6,CNR,2035,PADD1,LOW,LIGHT,SWEET,105448.553,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,105448.553,98.55830176,251.6367517,249.8358834,256.0781144
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,PADD1,LOW,LIGHT,SWEET,105448.553,65.1848736,299.6249448,298.4902097,302.4234673
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,PADD1,LOW,LIGHT,SWEET,105448.553,149.3672591,259.7775264,258.6975854,262.4409137
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,PADD1,LOW,LIGHT,SWEET,105448.553,16.14062488,496.0562167,493.8467738,501.5052201
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,PADD1,LOW,LIGHT,SWEET,105448.553,140.0220439,252.9859454,240.3168679,284.2308563
Deep Conversion: FCC & GO-HC (6),6,Others,2035,PADD1,LOW,LIGHT,SWEET,105448.553,205.2349297,248.9881005,247.2777175,253.2063054
Hydroskimming Configuration (0),0,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,0,0,0,0
Hydroskimming Configuration (0),0,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,15.91633341,475.7646598,472.8412773,482.9744053
Hydroskimming Configuration (0),0,CNR,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,0,0,0,0
Hydroskimming Configuration (0),0,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,0,0,0,0
Hydroskimming Configuration (0),0,Coker,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,0,0,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,5.702374729,697.0647203,685.183974,726.3654218
Hydroskimming Configuration (0),0,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,0.699243626,2508.981667,2471.404279,2601.656301
Hydroskimming Configuration (0),0,SMR,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,6.130077311,681.0263827,681.0263827,681.0263827
Hydroskimming Configuration (0),0,Others,2050,PADD1,LOW,HEAVY,SOUR,14927.56494,32.32416689,399.1760337,391.1905199,418.8701799
Medium Conversion:  FCC (1),1,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,353683.2864,0,0,0,0
